,,,,,,,,,,,,,Solicitação de Obra,,Mapa de Cotação,,Pedido de compra,,Contrato de Cotação e Materiais,
ESTRUTURA DO ORÇAMENTO,RM,INSUMO,4,5,6,7,8,9,10,DATA PLANEJADA TAREFA,DATA DE NECESSIDADE INFORMADA,DATA DE INCLUSAO NO SISTEMA,,Nº COTAÇÃO SISTEMA,Data aprovação cotaçao,Nº PEDIDO SISTEMA,DATA APROVAÇÃO PEDIDO DE COMPRA,Nº CONTRATO SISTEMA,DATA APROVAÇÃO DO CONTRATO,
Soma de 1,,,,,,,,,Data de cronograma,DATA DO PLANEJAMENTO,Data de necessidade informada,data de inclusao,,Cotação,Data aprovação cotaçao,Pedido,Data aprovação pedido,Contrato,Data aprovação contrato,Emissão da nota (primeira)
01.01.01.01.008,1396,5739 -  05739-SERVIÇOS PROJETOS ESTRUTURAIS,1,,,,,,,,45744,45666.659675925897,09/01/2025,21,09/01/2025,0,,494,09/01/2025,
01.01.01.01.012,1398,5738 -  05738-SERVIÇOS PROJETOS ELETRICOS/TELEFONICO,1,,,,,,,,45744,45666.662256944401,09/01/2025,23,09/01/2025,0,,496,09/01/2025,
01.01.01.01.013,1397,5740 -  05740-SERVIÇOS PROJETOS HIDRAULICO/SANITARIO,1,,,,,,,,45744,45666.660636574103,09/01/2025,22,09/01/2025,0,,495,09/01/2025,
01.01.01.01.015,1395,5725 -  05725-SERVIÇOS PROJETOS DE GÁS,1,,,,,,,,45744,45666.658645833297,09/01/2025,20,09/01/2025,0,,493,09/01/2025,
01.01.01.01.025,1402,5718 -  05718-SERVIÇOS PROJETOS DE DRYWALL,1,,,,,,,,45744,45666.668194444399,09/01/2025,27,09/01/2025,0,,500,09/01/2025,
01.01.01.01.043,1328,5670 -  05670-SERVIÇOS GERENCIAMENTO DE RESIDUOS,1,,,,,,,,45744,45666.378900463002,09/01/2025,5,09/01/2025,0,,478,09/01/2025,
01.01.01.01.048,1400,8628 -  08628-SERVIÇO DE ELABORAÇÃO DE PERFIL DE DESEMPENHO DA EDIFICAÇÃO,1,,,,,,,,45744,45666.665601851899,09/01/2025,25,09/01/2025,0,,498,09/01/2025,
01.01.01.02.003,1330,8837 -  08837-TAXA ART,14,,,,,,,,45744,45666.446909722203,09/01/2025,7,09/01/2025,0,,479,09/01/2025,
01.01.01.02.004,3615,8838 -  08838-TAXAS VAGAS PARA CARGA E DESCARGA,1,,,,,,,,45721,45700.659050925897,12/02/2025,103,12/02/2025,72,12/02/2025,0,,
01.01.01.02.004,4922,8838 -  08838-TAXAS VAGAS PARA CARGA E DESCARGA,1,,,,,,,,45748,45728.454571759299,12/03/2025,134,12/03/2025,145,12/03/2025,0,,
01.01.01.02.004,7217,8838 -  08838-TAXAS VAGAS PARA CARGA E DESCARGA,26,,,,,,,,45831,45789.571759259299,09/05/2025,205,20/05/2025,290,23/06/2025,0,,
01.01.01.02.004,16771,8838 -  08838-TAXAS VAGAS PARA CARGA E DESCARGA,1,,,,,,,,46049,46049.4442361111,27/01/2026,586,02/02/2026,751,18/02/2026,0,,
01.01.01.02.004,17352,8838 -  08838-TAXAS VAGAS PARA CARGA E DESCARGA,1,,,,,,,,46064,46064.628923611097,11/02/2026,610,17/02/2026,769,05/03/2026,0,,
01.01.01.02.004,18345,8838 -  08838-TAXAS VAGAS PARA CARGA E DESCARGA,1,,,,,,,,46093,46093.408981481502,12/03/2026,640,12/03/2026,779,12/03/2026,0,,
01.01.01.04.004,1347,5080 -  05080-SERVIÇOS ACOMPANHAMENTO DE CONCRETAGEM E ROMPIMENTO DE CORPO DE PROVA,1,,,,,,,,45744,45666.449907407397,09/01/2025,8,09/01/2025,0,,480,09/01/2025,
01.01.01.04.004,1348,5080 -  05080-SERVIÇOS ACOMPANHAMENTO DE CONCRETAGEM E ROMPIMENTO DE CORPO DE PROVA,1,,,,,,,,45744,45666.4508333333,09/01/2025,10,09/01/2025,0,,481,09/01/2025,
01.01.01.04.004,15431,5080 -  05080-SERVIÇOS ACOMPANHAMENTO DE CONCRETAGEM E ROMPIMENTO DE CORPO DE PROVA,1,,,,,,,,45996,45996.497997685197,05/12/2025,505,10/12/2025,0,,2959,,
01.01.01.04.013,14560,5072 -  05072-ENSAIO DE ARRANCAMENTO,1,,,,,,,,45967,45967.635046296302,06/11/2025,445,12/11/2025,0,,2749,17/11/2025,
01.01.01.04.015,2756,5578 -  05578-SERVIÇOS DE MONITORAMENTO,4,,,,,,,,45763,45685.713125000002,28/01/2025,57,29/01/2025,0,,910,29/01/2025,
01.01.01.04.015,2756,6298 -  06298-PINOS DE LATAO PARA ENSAIO DE RECALQUE,5,,,,,,,,45763,45685.713125000002,28/01/2025,57,29/01/2025,0,,910,29/01/2025,
01.01.01.04.015,2756,8869 -  08869-SERVIÇOS DE MOBILIZAÇÃO PARA ENSAIOS,1,,,,,,,,45763,45685.713125000002,28/01/2025,57,29/01/2025,0,,910,29/01/2025,
01.01.01.04.015,2756,8870 -  08870-SERVIÇOS DE BENCHMARK EM ESTRUTURA,2,,,,,,,,45763,45685.713125000002,28/01/2025,57,29/01/2025,0,,910,29/01/2025,
01.01.01.04.015,2756,8871 -  08871-SERVIÇO DE INSTALAÇÃO DE PINOS DE BENCHMARK EM ESTRUTURA,3,,,,,,,,45763,45685.713125000002,28/01/2025,57,29/01/2025,0,,910,29/01/2025,
01.01.01.05.001,1349,5001 -  05001-MO MONTAGEM DE GABARITO PARA LOCAÇÃO DE OBRA,1,,,,,,,,45744,45666.4614351852,09/01/2025,11,09/01/2025,0,,482,09/01/2025,
01.01.01.05.002,4528,3288 -  03288-LOCAÇÃO DE FURADEIRA / MARTELETE SDS PLUS,5,,,,,,,,45806,45719.129745370403,03/03/2025,124,03/03/2025,0,,1116,05/03/2025,
01.01.01.05.002,5424,5573 -  05573-MO ACOMPANHAMENTO TOPOGRAFICO,1,,,,,,,,45820,45741.423368055599,24/03/2025,146,25/03/2025,0,,1375,14/04/2025,
01.01.01.05.002,8150,5573 -  05573-MO ACOMPANHAMENTO TOPOGRAFICO,1,,,,,,,,45888,45811.668877314798,03/06/2025,222,05/06/2025,0,,1706,,
01.01.02.01.001,10271,825 -  00825-TELHA METÁLICA PRÉ-PINTADA,1,,,,,,,,45860,45860.385717592602,22/07/2025,257,23/07/2025,357,30/07/2025,0,,
01.01.02.01.001,14499,825 -  00825-TELHA METÁLICA PRÉ-PINTADA,1,,,,,,,,45967,45967.347604166702,06/11/2025,462,18/11/2025,567,25/11/2025,0,,
01.01.02.01.001,14503,7744 -  07744-TINTA PVA 2 LINHA,1,,,,,,,,45967,45967.356805555602,06/11/2025,454,17/11/2025,571,25/11/2025,0,,
01.01.02.01.002,11555,7721 -  07721-TINTA ESMALTE SINTÉTICO BASE ÁGUA,1,,,,,,,,45958,45888.458668981497,19/08/2025,287,20/08/2025,404,21/08/2025,0,,
01.01.02.01.002,11635,9015 -  09015-MO MANUTENÇÃO DE TAPUMES,1,,,,,,,,45973,45889.632118055597,20/08/2025,293,21/08/2025,409,25/08/2025,0,,
01.01.02.01.002,11643,9015 -  09015-MO MANUTENÇÃO DE TAPUMES,1,,,,,,,,45973,45889.724016203698,20/08/2025,294,21/08/2025,410,25/08/2025,0,,
01.01.02.02.001,13476,9793 -  09793-INDENIZAÇÃO DE PEÇAS,1,,,,,,,,46028,45940.316678240699,10/10/2025,376,13/10/2025,494,21/10/2025,0,,
01.01.02.02.002,5135,"4068 -  04068-CABO FLEXÍVEL PP 2X2,5MM",1,,,,,,,,45791,45733.599560185197,17/03/2025,147,25/03/2025,171,28/03/2025,0,,
01.01.02.02.002,6775,8094 -  08094-LÂMPADA LED 11W,7,,,,,,,,45817,45775.581458333298,28/04/2025,188,02/05/2025,229,07/05/2025,0,,
01.01.02.02.002,6775,8098 -  08098-LÂMPADA LED 50W,8,,,,,,,,45817,45775.581458333298,28/04/2025,188,02/05/2025,229,07/05/2025,0,,
01.01.02.02.002,6775,9486 -  09486-BOCAL PVC PENDENTE COM RABICHO E27,9,,,,,,,,45817,45775.581458333298,28/04/2025,188,02/05/2025,229,07/05/2025,0,,
01.01.02.02.002,7061,837 -  00837-CALHA,1,,,,,,,,45824,45783.476412037002,06/05/2025,193,12/05/2025,244,16/05/2025,0,,
01.01.02.02.002,11320,5988 -  05988-CHUVEIRO ELÉTRICO 220V,4,,,,,,,,45924,45882.412349537,13/08/2025,295,22/08/2025,413,01/09/2025,0,,
01.01.02.02.002,12103,6258 -  06258-PARAFUSO COM BUCHA 6MM,4,,,,,,,,45904,45904.571805555599,02/09/2025,326,10/09/2025,438,15/09/2025,0,,
