,,,,,,,,,,,,,Solicitação de Obra,,Mapa de Cotação,,Pedido de compra,,Contrato de Cotação e Materiais,
ESTRUTURA DO ORÇAMENTO,RM,INSUMO,4,5,6,7,8,9,10,DATA PLANEJADA TAREFA,DATA DE NECESSIDADE INFORMADA,DATA DE INCLUSAO NO SISTEMA,,Nº COTAÇÃO SISTEMA,Data aprovação cotaçao,Nº PEDIDO SISTEMA,DATA APROVAÇÃO PEDIDO DE COMPRA,Nº CONTRATO SISTEMA,DATA APROVAÇÃO DO CONTRATO,
Soma de 1,,,,,,,,,Data de cronograma,DATA DO PLANEJAMENTO,Data de necessidade informada,data de inclusao,,Cotação,Data aprovação cotaçao,Pedido,Data aprovação pedido,Contrato,Data aprovação contrato,Emissão da nota (primeira)
01.01.02.02.003,16168,"4376 -  04376-CABO FLEXÍVEL 750V 10,0MM VERDE",4,,,,,,,,46086,46031.311481481498,09/01/2026,546,12/01/2026,663,13/01/2026,0,,
01.01.02.02.003,16168,"4464 -  04464-CABO FLEXÍVEL 750V 6,0MM VERDE",2,,,,,,,,46086,46031.311481481498,09/01/2026,546,12/01/2026,663,13/01/2026,0,,
01.01.02.02.003,16168,"4465 -  04465-CABO FLEXÍVEL 750V 6,0MM VERMELHO",1,,,,,,,,46086,46031.311481481498,09/01/2026,546,12/01/2026,663,13/01/2026,0,,
01.01.02.02.003,16435,6529 -  06529-ESTRADO PLÁSTICO,7,,,,,,,,46069,46041.616412037001,19/01/2026,563,20/01/2026,684,22/01/2026,0,,
01.01.02.02.003,16435,"9529 -  09529-BRAÇO CHUVEIRO 40CM 1/2""",5,,,,,,,,46069,46041.616412037001,19/01/2026,563,20/01/2026,684,22/01/2026,0,,
01.01.02.02.003,16451,"8081 -  08081-TELHA FIBROCIMENTO 2,44X1,10 6MM",1,,,,,,,,46083,46042.336099537002,20/01/2026,559,20/01/2026,681,22/01/2026,0,,
01.01.02.02.003,16761,8095 -  08095-LÂMPADA LED 15W,9,,,,,,,,46076,46049.319895833301,27/01/2026,600,10/02/2026,750,18/02/2026,0,,
01.01.02.02.003,16761,8098 -  08098-LÂMPADA LED 50W,8,,,,,,,,46076,46049.319895833301,27/01/2026,600,10/02/2026,750,18/02/2026,0,,
01.01.02.02.003,16761,9486 -  09486-BOCAL PVC PENDENTE COM RABICHO E27,10,,,,,,,,46076,46049.319895833301,27/01/2026,600,10/02/2026,750,18/02/2026,0,,
01.01.02.02.003,16847,2495 -  02495-CORPO CAIXA SIFONADA 100X100XDN50,7,,,,,,,,46092,46051.316469907397,29/01/2026,587,02/02/2026,706,04/02/2026,0,,
01.01.02.02.003,16847,2513 -  02513-GRELHA ABS CROMADA QUADRADA RAD 100,8,,,,,,,,46092,46051.316469907397,29/01/2026,587,02/02/2026,706,04/02/2026,0,,
01.01.02.02.003,16847,2549 -  02549-PORTA GRELHA QUADRADA BRANCO 100,9,,,,,,,,46092,46051.316469907397,29/01/2026,587,02/02/2026,706,04/02/2026,0,,
01.01.02.02.003,16847,5988 -  05988-CHUVEIRO ELÉTRICO 220V,6,,,,,,,,46092,46051.316469907397,29/01/2026,587,02/02/2026,706,04/02/2026,0,,
01.01.02.02.003,16847,6030 -  06030-PROLONGADOR PARA REGISTRO,10,,,,,,,,46092,46051.316469907397,29/01/2026,587,02/02/2026,706,04/02/2026,0,,
01.01.02.02.003,16847,"6048 -  06048-REGISTRO PRESSÃO BRUTO 3/4""",11,,,,,,,,46092,46051.316469907397,29/01/2026,587,02/02/2026,706,04/02/2026,0,,
01.01.02.02.003,17711,12744 -  12744-TINTA ESMALTE SINTÉTICO,1,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,13380 -  13380-BACIA SANITÁRIA SAÍDA VERTICAL,17,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,2150 -  02150-ANEL VEDAÇÃO VASO SANITÁRIO,12,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,2334 -  02334-REGISTRO ESFERA SOLDÁVEL 25MM,2,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,2350 -  02350-SIFÃO EXTENSÍVEL BRANCO UNIVERSAL,10,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,"2618 -  02618-TUBO DESC LONGO EXT CAIXA DESCARGA DN40X1,60M",8,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,2629 -  02629-ASSENTO SANITÁRIO,4,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,"2649 -  02649-ENGATE FLEXÍVEL PLÁSTICO 1/2""X50CM",11,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,5892 -  05892-ESPUDE BORRACHA,6,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,5897 -  05897-KIT FIXAÇÃO BACIA SANITÁRIA,7,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,6103 -  06103-LAVATÓRIO PVC,9,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,6333 -  06333-DOBRADIÇA,16,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,"7669 -  07669-PINCEL 3""",15,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,7681 -  07681-ROLO DE ESPUMA 23CM,14,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,9528 -  09528-CAIXA DE DESCARGA ELEVADA 9L,5,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17711,9816 -  09816-GARFO PARA ROLO,13,,,,,,,,46146,46077.801736111098,24/02/2026,622,25/02/2026,757,26/02/2026,0,,
01.01.02.02.003,17848,"2648 -  02648-ENGATE FLEXÍVEL PLÁSTICO 1/2""X40CM",8,,,,,,,,46108,46083.505486111098,02/03/2026,630,04/03/2026,782,13/03/2026,0,,
01.01.02.02.003,17848,5892 -  05892-ESPUDE BORRACHA,7,,,,,,,,46108,46083.505486111098,02/03/2026,630,04/03/2026,782,13/03/2026,0,,
01.01.02.02.003,17852,10688 -  10688-MO INSTALAÇÃO DE AR CONDICIONADO,1,,,,,,,,46164,46083.574236111097,02/03/2026,632,05/03/2026,771,05/03/2026,0,,
01.01.02.02.003,18012,"607 -  00607-COMPENSADO RESINADO 14MM 1,10X2,20",1,,,,,,,,46086,46086.3759027778,05/03/2026,677,26/03/2026,810,30/03/2026,0,,
01.01.02.02.003,18012,"8942 -  08942-RIPA PINUS 1""X3""",2,,,,,,,,46086,46086.3759027778,05/03/2026,677,26/03/2026,810,30/03/2026,0,,
01.01.02.02.003,18012,"8945 -  08945-VIGOTE PINUS 3""X3""",3,,,,,,,,46086,46086.3759027778,05/03/2026,677,26/03/2026,810,30/03/2026,0,,
01.01.02.02.003,18575,5892 -  05892-ESPUDE BORRACHA,4,,,,,,,,46126,46099.600150462997,18/03/2026,0,#N/A,0,,0,,
01.01.02.02.004,12525,8276 -  08276-FRIGOBAR,2,,,,,,,,45959,45932.375752314802,12/09/2025,385,15/10/2025,510,24/10/2025,0,,
01.01.02.02.004,15930,6899 -  06899-ESTANTE DE AÇO,1,,,,,,,,46043,46014.412928240701,23/12/2025,532,05/01/2026,647,05/01/2026,0,,
01.01.02.02.004,18159,6895 -  06895-CADEIRA ESCRITÓRIO FIXA,1,,,,,,,,46115,46090.629976851902,09/03/2026,637,09/03/2026,774,10/03/2026,0,,
01.01.02.02.004,18159,6896 -  06896-CADEIRA ESCRITÓRIO GIRATÓRIA,2,,,,,,,,46115,46090.629976851902,09/03/2026,637,09/03/2026,774,10/03/2026,0,,
01.01.02.02.004,18575,6906 -  06906-TELEVISÃO,1,,,,,,,,46126,46099.600150462997,18/03/2026,0,#N/A,0,,0,,
01.01.02.02.004,18575,8304 -  08304-SUPORTE PARA TV,2,,,,,,,,46126,46099.600150462997,18/03/2026,0,#N/A,0,,0,,
01.01.02.02.005,18021,6700 -  06700-BEBEDOURO,1,,,,,,,,46086,46086.460856481499,05/03/2026,0,#N/A,0,,0,,
01.01.02.02.006,7026,6609 -  06609-RESISTENCIA MARMITEIRO 2000WX220V,1,,,,,,,,45807,45782.605150463001,05/05/2025,190,07/05/2025,233,12/05/2025,0,,
01.01.02.03.002,1386,3299 -  03299-LOCAÇÃO DE IMPRESSORA,1,,,,,,,,45744,45666.636412036998,09/01/2025,16,09/01/2025,0,,489,09/01/2025,
01.01.02.03.004,3039,6554 -  06554-LAMINA DE SERRA MANUAL,3,,,,,,,,45705,45691.5006712963,03/02/2025,98,07/02/2025,115,18/02/2025,0,,
01.01.02.03.004,3039,6908 -  06908-COPO PLÁSTICO 180ML,6,,,,,,,,45705,45691.5006712963,03/02/2025,98,07/02/2025,115,18/02/2025,0,,
01.01.02.03.004,3039,6959 -  06959-SACO DE LIXO 100L,5,,,,,,,,45705,45691.5006712963,03/02/2025,98,07/02/2025,115,18/02/2025,0,,
01.01.02.03.004,3039,6966 -  06966-SACO DE LIXO 50L,4,,,,,,,,45705,45691.5006712963,03/02/2025,98,07/02/2025,115,18/02/2025,0,,
01.01.02.03.004,3039,6974 -  06974-VASSOURA GARI 60CM,2,,,,,,,,45705,45691.5006712963,03/02/2025,98,07/02/2025,115,18/02/2025,0,,
01.01.02.03.004,3039,6976 -  06976-VASSOURA NYLON,1,,,,,,,,45705,45691.5006712963,03/02/2025,98,07/02/2025,115,18/02/2025,0,,
01.01.02.03.004,3737,6908 -  06908-COPO PLÁSTICO 180ML,14,,,,,,,,45729,45701.628877314797,13/02/2025,114,17/02/2025,114,18/02/2025,0,,
01.01.02.03.004,3968,9284 -  09284-REFLETOR LED 200W,1,,,,,,,,45796,45707.523009259297,19/02/2025,101,10/02/2025,125,25/02/2025,0,,
01.01.02.03.004,4607,6913 -  06913-DESINFETANTE 5L,10,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,6916 -  06916-DETERGENTE 5L,11,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,6920 -  06920-ESCOVA SANITÁRIA,1,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,6921 -  06921-ESPONJA MULTI USO,13,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,6945 -  06945-PAPEL HIGIÊNICO,8,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,6946 -  06946-PAPEL TOALHA,2,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,6947 -  06947-PEDRA SANITÁRIA,6,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,6956 -  06956-SABONETE LÍQUIDO 5L,12,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,6959 -  06959-SACO DE LIXO 100L,5,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,6966 -  06966-SACO DE LIXO 50L,4,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,8318 -  08318-PANO MULTIUSO,14,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,9008 -  09008-ALCOOL PARA LIMPEZA,7,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,9085 -  09085-ÁGUA SANITÁRIA 5L,9,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,4607,9542 -  09542-BALDE PLÁSTICO 10L,15,,,,,,,,45734,45720.397002314799,04/03/2025,131,11/03/2025,154,14/03/2025,0,,
01.01.02.03.004,5748,6873 -  06873-PILHA AA,4,,,,,,,,45792,45748.619849536997,01/04/2025,159,04/04/2025,192,14/04/2025,0,,
01.01.02.03.004,6259,10130 -  10130-BALDE METÁLICO 10L,3,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,6908 -  06908-COPO PLÁSTICO 180ML,6,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,6913 -  06913-DESINFETANTE 5L,11,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,6916 -  06916-DETERGENTE 5L,12,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,6921 -  06921-ESPONJA MULTI USO,14,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,6944 -  06944-PANO DE CHÃO,15,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,6946 -  06946-PAPEL TOALHA,5,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,6947 -  06947-PEDRA SANITÁRIA,4,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,6956 -  06956-SABONETE LÍQUIDO 5L,13,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,6959 -  06959-SACO DE LIXO 100L,8,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,6966 -  06966-SACO DE LIXO 50L,7,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,9008 -  09008-ALCOOL PARA LIMPEZA,9,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,9085 -  09085-ÁGUA SANITÁRIA 5L,10,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,6259,9086 -  09086-NAFTALINA,2,,,,,,,,45776,45761.515775462998,14/04/2025,181,24/04/2025,219,30/04/2025,0,,
01.01.02.03.004,7217,6800 -  06800-CARREGADOR MICRO USB,27,,,,,,,,45831,45789.571759259299,09/05/2025,205,20/05/2025,290,23/06/2025,0,,
01.01.02.03.004,7217,6873 -  06873-PILHA AA,28,,,,,,,,45831,45789.571759259299,09/05/2025,205,20/05/2025,290,23/06/2025,0,,
01.01.02.03.004,7217,9069 -  09069-PLUG FÊMEA 20A,30,,,,,,,,45831,45789.571759259299,09/05/2025,205,20/05/2025,290,23/06/2025,0,,
01.01.02.03.004,7217,9070 -  09070-PLUG MACHO 20A,29,,,,,,,,45831,45789.571759259299,09/05/2025,205,20/05/2025,290,23/06/2025,0,,
01.01.02.03.004,7578,10130 -  10130-BALDE METÁLICO 10L,11,,,,,,,,45817,45797.684953703698,20/05/2025,223,05/06/2025,269,09/06/2025,0,,
01.01.02.03.004,7578,10415 -  10415-PAPEL HIGIÊNICO 9CMX200M,8,,,,,,,,45817,45797.684953703698,20/05/2025,223,05/06/2025,269,09/06/2025,0,,
01.01.02.03.004,7578,6560 -  06560-LONA PLÁSTICA PRETA,1,,,,,,,,45817,45797.684953703698,20/05/2025,223,05/06/2025,269,09/06/2025,0,,
01.01.02.03.004,7578,6908 -  06908-COPO PLÁSTICO 180ML,13,,,,,,,,45817,45797.684953703698,20/05/2025,223,05/06/2025,269,09/06/2025,0,,
01.01.02.03.004,7578,6913 -  06913-DESINFETANTE 5L,3,,,,,,,,45817,45797.684953703698,20/05/2025,223,05/06/2025,269,09/06/2025,0,,
01.01.02.03.004,7578,6944 -  06944-PANO DE CHÃO,4,,,,,,,,45817,45797.684953703698,20/05/2025,223,05/06/2025,269,09/06/2025,0,,
01.01.02.03.004,7578,6946 -  06946-PAPEL TOALHA,5,,,,,,,,45817,45797.684953703698,20/05/2025,223,05/06/2025,269,09/06/2025,0,,
01.01.02.03.004,7578,6956 -  06956-SABONETE LÍQUIDO 5L,6,,,,,,,,45817,45797.684953703698,20/05/2025,223,05/06/2025,269,09/06/2025,0,,
01.01.02.03.004,7578,6973 -  06973-VASSOURA GARI 40CM,2,,,,,,,,45817,45797.684953703698,20/05/2025,223,05/06/2025,269,09/06/2025,0,,
01.01.02.03.004,9491,6908 -  06908-COPO PLÁSTICO 180ML,3,,,,,,,,45855,45842.474050925899,04/07/2025,253,15/07/2025,351,21/07/2025,0,,
01.01.02.03.004,9491,6913 -  06913-DESINFETANTE 5L,5,,,,,,,,45855,45842.474050925899,04/07/2025,253,15/07/2025,351,21/07/2025,0,,
01.01.02.03.004,9491,6916 -  06916-DETERGENTE 5L,4,,,,,,,,45855,45842.474050925899,04/07/2025,253,15/07/2025,351,21/07/2025,0,,
01.01.02.03.004,9491,6945 -  06945-PAPEL HIGIÊNICO,1,,,,,,,,45855,45842.474050925899,04/07/2025,253,15/07/2025,351,21/07/2025,0,,
01.01.02.03.004,9491,6946 -  06946-PAPEL TOALHA,2,,,,,,,,45855,45842.474050925899,04/07/2025,253,15/07/2025,351,21/07/2025,0,,
01.01.02.03.004,9491,9008 -  09008-ALCOOL PARA LIMPEZA,7,,,,,,,,45855,45842.474050925899,04/07/2025,253,15/07/2025,351,21/07/2025,0,,
01.01.02.03.004,9668,6849 -  06849-MARCADOR QUADRO BRANCO AZUL,1,,,,,,,,45860,45847.406620370399,09/07/2025,248,10/07/2025,364,01/08/2025,0,,
01.01.02.03.004,9668,6850 -  06850-MARCADOR QUADRO BRANCO PRETO,2,,,,,,,,45860,45847.406620370399,09/07/2025,248,10/07/2025,364,01/08/2025,0,,
01.01.02.03.004,9668,6851 -  06851-MARCADOR QUADRO BRANCO VERDE,3,,,,,,,,45860,45847.406620370399,09/07/2025,248,10/07/2025,364,01/08/2025,0,,
01.01.02.03.004,9668,6852 -  06852-MARCADOR QUADRO BRANCO VERMELHO,4,,,,,,,,45860,45847.406620370399,09/07/2025,248,10/07/2025,364,01/08/2025,0,,
01.01.02.03.004,10741,6976 -  06976-VASSOURA NYLON,1,,,,,,,,45881,45868.395219907397,30/07/2025,276,06/08/2025,387,12/08/2025,0,,
01.01.02.03.004,11149,6908 -  06908-COPO PLÁSTICO 180ML,1,,,,,,,,45890,45877.608645833301,08/08/2025,286,20/08/2025,407,25/08/2025,0,,
01.01.02.03.004,11320,9065 -  09065-COFFEE BREAK,8,,,,,,,,45924,45882.412349537,13/08/2025,295,22/08/2025,413,01/09/2025,0,,
01.01.02.03.004,12109,6543 -  06543-GRAMPEADOR TIPO TAPECEIRO ALTA PRESSÃO,8,,,,,,,,45916,45902.628217592603,02/09/2025,312,04/09/2025,432,11/09/2025,0,,
01.01.02.03.004,12109,6792 -  06792-CANETA MARCA TEXTO AMARELA,5,,,,,,,,45916,45902.628217592603,02/09/2025,312,04/09/2025,432,11/09/2025,0,,
01.01.02.03.004,12109,6793 -  06793-CANETA MARCA TEXTO AZUL,6,,,,,,,,45916,45902.628217592603,02/09/2025,312,04/09/2025,432,11/09/2025,0,,
01.01.02.03.004,12109,6796 -  06796-CANETA MARCA TEXTO VERDE,7,,,,,,,,45916,45902.628217592603,02/09/2025,312,04/09/2025,432,11/09/2025,0,,
01.01.02.03.004,12109,6839 -  06839-GRAMPO PARA GRAMPEADOR,2,,,,,,,,45916,45902.628217592603,02/09/2025,312,04/09/2025,432,11/09/2025,0,,
01.01.02.03.004,12109,6881 -  06881-PRANCHETA MADEIRA,3,,,,,,,,45916,45902.628217592603,02/09/2025,312,04/09/2025,432,11/09/2025,0,,
01.01.02.03.004,12109,8980 -  08980-EXTRATOR DE GRAMPO,1,,,,,,,,45916,45902.628217592603,02/09/2025,312,04/09/2025,432,11/09/2025,0,,
01.01.02.03.004,12109,9479 -  09479-FITA ADESIVA 45MMX100M TRANSPARENTE,4,,,,,,,,45916,45902.628217592603,02/09/2025,312,04/09/2025,432,11/09/2025,0,,
01.01.02.03.004,12109,9849 -  09849-PAPEL CONTACT TRANSPARENTE,9,,,,,,,,45916,45902.628217592603,02/09/2025,312,04/09/2025,432,11/09/2025,0,,
01.01.02.03.004,12463,10271 -  10271-QUADRO BRANCO UV MOLDURA DE ALUMINIO 180X120CM,4,,,,,,,,45938,45911.697071759299,11/09/2025,330,12/09/2025,451,22/09/2025,0,,
01.01.02.03.004,12463,6786 -  06786-CAIXA ARQUIVO PLÁSTICA,11,,,,,,,,45938,45911.697071759299,11/09/2025,330,12/09/2025,451,22/09/2025,0,,
01.01.02.03.004,12463,6832 -  06832-FITA ADESIVA 45MMX50M TRANSPARENTE,10,,,,,,,,45938,45911.697071759299,11/09/2025,330,12/09/2025,451,22/09/2025,0,,
01.01.02.03.004,12463,6839 -  06839-GRAMPO PARA GRAMPEADOR,9,,,,,,,,45938,45911.697071759299,11/09/2025,330,12/09/2025,451,22/09/2025,0,,
01.01.02.03.004,12463,6849 -  06849-MARCADOR QUADRO BRANCO AZUL,5,,,,,,,,45938,45911.697071759299,11/09/2025,330,12/09/2025,451,22/09/2025,0,,
01.01.02.03.004,12463,6850 -  06850-MARCADOR QUADRO BRANCO PRETO,6,,,,,,,,45938,45911.697071759299,11/09/2025,330,12/09/2025,451,22/09/2025,0,,
01.01.02.03.004,12463,6851 -  06851-MARCADOR QUADRO BRANCO VERDE,7,,,,,,,,45938,45911.697071759299,11/09/2025,330,12/09/2025,451,22/09/2025,0,,
01.01.02.03.004,12463,6852 -  06852-MARCADOR QUADRO BRANCO VERMELHO,8,,,,,,,,45938,45911.697071759299,11/09/2025,330,12/09/2025,451,22/09/2025,0,,
01.01.02.03.004,12463,6898 -  06898-CHALEIRA ELÉTRICA,1,,,,,,,,45938,45911.697071759299,11/09/2025,330,12/09/2025,451,22/09/2025,0,,
01.01.02.03.004,12463,6900 -  06900-GARRAFA TÉRMICA,2,,,,,,,,45938,45911.697071759299,11/09/2025,330,12/09/2025,451,22/09/2025,0,,
01.01.02.03.004,12463,9000 -  09000-ALIMENTAÇÃO,3,,,,,,,,45938,45911.697071759299,11/09/2025,330,12/09/2025,451,22/09/2025,0,,
01.01.02.03.004,12605,6908 -  06908-COPO PLÁSTICO 180ML,8,,,,,,,,45929,45916.614479166703,16/09/2025,345,22/09/2025,452,24/09/2025,0,,
01.01.02.03.004,12605,6913 -  06913-DESINFETANTE 5L,2,,,,,,,,45929,45916.614479166703,16/09/2025,345,22/09/2025,452,24/09/2025,0,,
01.01.02.03.004,12605,6945 -  06945-PAPEL HIGIÊNICO,3,,,,,,,,45929,45916.614479166703,16/09/2025,345,22/09/2025,452,24/09/2025,0,,
01.01.02.03.004,12605,6946 -  06946-PAPEL TOALHA,4,,,,,,,,45929,45916.614479166703,16/09/2025,345,22/09/2025,452,24/09/2025,0,,
01.01.02.03.004,12605,6951 -  06951-RODO,7,,,,,,,,45929,45916.614479166703,16/09/2025,345,22/09/2025,452,24/09/2025,0,,
01.01.02.03.004,12605,6973 -  06973-VASSOURA GARI 40CM,6,,,,,,,,45929,45916.614479166703,16/09/2025,345,22/09/2025,452,24/09/2025,0,,
01.01.02.03.004,12605,6976 -  06976-VASSOURA NYLON,5,,,,,,,,45929,45916.614479166703,16/09/2025,345,22/09/2025,452,24/09/2025,0,,
01.01.02.03.004,12605,9085 -  09085-ÁGUA SANITÁRIA 5L,1,,,,,,,,45929,45916.614479166703,16/09/2025,345,22/09/2025,452,24/09/2025,0,,
01.01.02.03.004,13162,9000 -  09000-ALIMENTAÇÃO,1,,,,,,,,45959,45932.3750462963,02/10/2025,385,15/10/2025,510,24/10/2025,0,,
01.01.02.03.004,13297,6834 -  06834-FITA CREPE 50MMX50M,1,,,,,,,,45936,45936.3908912037,06/10/2025,371,07/10/2025,475,10/10/2025,0,,
01.01.02.03.004,13800,6908 -  06908-COPO PLÁSTICO 180ML,10,,,,,,,,45961,45950.391354166699,20/10/2025,394,21/10/2025,502,23/10/2025,0,,
01.01.02.03.004,13800,6913 -  06913-DESINFETANTE 5L,5,,,,,,,,45961,45950.391354166699,20/10/2025,394,21/10/2025,502,23/10/2025,0,,
01.01.02.03.004,13800,6916 -  06916-DETERGENTE 5L,3,,,,,,,,45961,45950.391354166699,20/10/2025,394,21/10/2025,502,23/10/2025,0,,
01.01.02.03.004,13800,6921 -  06921-ESPONJA MULTI USO,6,,,,,,,,45961,45950.391354166699,20/10/2025,394,21/10/2025,502,23/10/2025,0,,
01.01.02.03.004,13800,6945 -  06945-PAPEL HIGIÊNICO,1,,,,,,,,45961,45950.391354166699,20/10/2025,394,21/10/2025,502,23/10/2025,0,,
01.01.02.03.004,13800,6946 -  06946-PAPEL TOALHA,2,,,,,,,,45961,45950.391354166699,20/10/2025,394,21/10/2025,502,23/10/2025,0,,
01.01.02.03.004,13800,6960 -  06960-SACO DE LIXO 150L,8,,,,,,,,45961,45950.391354166699,20/10/2025,394,21/10/2025,502,23/10/2025,0,,
01.01.02.03.004,13800,6967 -  06967-SACO DE LIXO 60L,7,,,,,,,,45961,45950.391354166699,20/10/2025,394,21/10/2025,502,23/10/2025,0,,
01.01.02.03.004,13800,6976 -  06976-VASSOURA NYLON,9,,,,,,,,45961,45950.391354166699,20/10/2025,394,21/10/2025,502,23/10/2025,0,,
01.01.02.03.004,13800,9085 -  09085-ÁGUA SANITÁRIA 5L,4,,,,,,,,45961,45950.391354166699,20/10/2025,394,21/10/2025,502,23/10/2025,0,,
01.01.02.03.004,13825,6786 -  06786-CAIXA ARQUIVO PLÁSTICA,1,,,,,,,,45961,45950.638576388897,20/10/2025,395,21/10/2025,527,04/11/2025,0,,
01.01.02.03.004,13825,6876 -  06876-PLÁSTICO PARA PLASTIFICAÇÃO A4,2,,,,,,,,45961,45950.638576388897,20/10/2025,395,21/10/2025,527,04/11/2025,0,,
01.01.02.03.004,13825,6945 -  06945-PAPEL HIGIÊNICO,4,,,,,,,,45961,45950.638576388897,20/10/2025,395,21/10/2025,527,04/11/2025,0,,
01.01.02.03.004,13825,9000 -  09000-ALIMENTAÇÃO,6,,,,,,,,45961,45950.638576388897,20/10/2025,395,21/10/2025,527,04/11/2025,0,,
01.01.02.03.004,13875,6873 -  06873-PILHA AA,1,,,,,,,,45964,45951.652407407397,21/10/2025,404,24/10/2025,512,27/10/2025,0,,
01.01.02.03.004,13875,8985 -  08985-KIT MOUSE E TECLADO COM FIO,2,,,,,,,,45964,45951.652407407397,21/10/2025,404,24/10/2025,512,27/10/2025,0,,
01.01.02.03.004,14236,6526 -  06526-ESTOPA BRANCA,2,,,,,,,,45988,45960.441678240699,30/10/2025,433,10/11/2025,538,12/11/2025,0,,
