00650 - PIEMONTE P78 CARNEIRO LOBO SPE LTDA,,Requisição de Materiais e Serviços,Emissão:,46112,0.54106481481721858,Página: 1 / 1,,
1349,1349,45666,POTY R09 V00,3,01.03.04.02.011,5148 -  05148-MO EXECUÇÃO DE ARMADURAS (MONTAGEM),45744,Baixada
,1349,,,,,,,
1349,1349,45666,POTY R09 V00,4,01.03.02.07.001,5211 -  05211-ARRASAMENTO DE ESTACAS DN 25 CM,45744,Baixada
,1349,,,,,,,
1349,1349,45666,POTY R09 V00,5,01.03.04.06.001,5213 -  05213-ARRASAMENTO DE ESTACAS DN 40 CM,45744,Baixada
,1349,,,,,,,
1349,1349,45666,POTY R09 V00,6,01.03.03.02.001,8529 -  08529-MO EXECUÇÃO DE FORMAS PARA VIGA DE COROAMENTO E SOLIDARIZAÇÃO,45744,Baixada
,1349,,,,,,,
1162,1162,45664,POTY R09 V00,1,01.03.05.02.003,311 -  00311-ARAME RECOZIDO 18 BWG,45699,Baixada
,1162,,,,,,,
1399,1399,45666,POTY R09 V00,1,01.01.01.01.003,5706 -  05706-SERVIÇOS PROJETOS ARQUITETÔNICOS,45744,Baixada
,1399,,,,,,,
1398,1398,45666,POTY R09 V00,1,01.01.01.01.012,5738 -  05738-SERVIÇOS PROJETOS ELETRICOS/TELEFONICO,45744,Baixada
,1398,,,,,,,
1397,1397,45666,POTY R09 V00,1,01.01.01.01.013,5740 -  05740-SERVIÇOS PROJETOS HIDRAULICO/SANITARIO,45744,Baixada
,1397,,,,,,,
1396,1396,45666,POTY R09 V00,1,01.01.01.01.008,5739 -  05739-SERVIÇOS PROJETOS ESTRUTURAIS,45744,Baixada
,1396,,,,,,,
1395,1395,45666,POTY R09 V00,1,01.01.01.01.015,5725 -  05725-SERVIÇOS PROJETOS DE GÁS,45744,Baixada
,1395,,,,,,,
1392,1392,45666,POTY R09 V00,1,01.01.04.02.007,5580 -  05580-SERVIÇOS DE SEGURANCA PATRIMONIAL,45744,Baixada
,1392,,,,,,,
1391,1391,45666,POTY R09 V00,1,01.01.02.06.007,8631 -  08631-SERVIÇOS DE ATENDIMENTO MÉDICO DE EMERGÊNCIA,45744,Baixada
,1391,,,,,,,
1387,1387,45666,POTY R09 V00,1,01.01.03.01.004,8572 -  08572-MO LOCAÇÃO DE ESCAVADEIRA HIDRAULICA COM OPERADOR COM COMBUSTÍVEL,45744,Baixada
,1387,,,,,,,
1387,1387,45666,POTY R09 V00,2,01.01.03.01.004,8816 -  08816-MO OPERADOR EQUIPAMENTO DE ESCAVAÇÃO,45751,Baixada
,1387,,,,,,,
1386,1386,45666,POTY R09 V00,1,01.01.02.03.002,3299 -  03299-LOCAÇÃO DE IMPRESSORA,45744,Baixada
,1386,,,,,,,
1382,1382,45666,POTY R09 V00,1,01.03.02.02.006,3328 -  03328-LOCAÇÃO DE MUNCK,45744,Baixada
,1382,,,,,,,
1402,1402,45666,POTY R09 V00,1,01.01.01.01.025,5718 -  05718-SERVIÇOS PROJETOS DE DRYWALL,45744,Baixada
,1402,,,,,,,
1400,1400,45666,POTY R09 V00,1,01.01.01.01.048,8628 -  08628-SERVIÇO DE ELABORAÇÃO DE PERFIL DE DESEMPENHO DA EDIFICAÇÃO,45744,Baixada
,1400,,,,,,,
684,684,45659,POTY R09 V00,1,01.03.05.02.002,319 -  00319-PREGO 17X27,45679,Baixada
,684,,,,,,,
684,684,45659,POTY R09 V00,2,01.03.05.02.002,315 -  00315-PREGO 15X21,45686,Baixada
,684,,,,,,,
684,684,45659,POTY R09 V00,3,01.03.05.02.003,"6459 -  06459-DISCO DE CORTE 180X1,6X22,23MM",45686,Baixada
,684,,,,,,,
