00650 - PIEMONTE P78 CARNEIRO LOBO SPE LTDA,,Requisição de Materiais e Serviços,Emissão:,46112,0.54106481481721858,Página: 1 / 1,,
863,863,45660,POTY R09 V00,1,01.03.05.02.003,"278 -  00278-AÇO CA-50 6,3 MM",45792,Aberto
,863,,,,,,,
863,863,45660,POTY R09 V00,2,01.03.05.02.004,"287 -  00287-ACO CA-60 5,0 MM",45785,Aberto
,863,,,,,,,
863,863,45660,POTY R09 V00,3,01.03.05.02.003,"280 -  00280-AÇO CA-50 10,0 MM",45785,Aberto
,863,,,,,,,
863,863,45660,POTY R09 V00,4,01.03.05.02.003,"279 -  00279-AÇO CA-50 8,0 MM",45792,Aberto
,863,,,,,,,
863,863,45660,POTY R09 V00,5,01.03.05.02.003,"281 -  00281-AÇO CA-50 12,5 MM",45792,Aberto
,863,,,,,,,
863,863,45660,POTY R09 V00,6,01.03.05.02.003,"282 -  00282-AÇO CA-50 16,0 MM",45792,Aberto
,863,,,,,,,
863,863,45660,POTY R09 V00,7,01.03.05.02.003,"283 -  00283-AÇO CA-50 20,0 MM",45792,Aberto
,863,,,,,,,
863,863,45660,POTY R09 V00,8,01.03.05.02.003,"284 -  00284-AÇO CA-50 25,0 MM",45792,Aberto
,863,,,,,,,
863,863,45660,POTY R09 V00,9,01.03.05.02.003,311 -  00311-ARAME RECOZIDO 18 BWG,45695,Baixada
,863,,,,,,,
1246,1246,45665,POTY R09 V00,1,01.03.05.02.003,"278 -  00278-AÇO CA-50 6,3 MM",45797,Baixada
,1246,,,,,,,
1246,1246,45665,POTY R09 V00,2,01.03.05.02.003,"282 -  00282-AÇO CA-50 16,0 MM",45797,Baixada
,1246,,,,,,,
1148,1148,45664,POTY R09 V00,9,01.04.01.04.002,"287 -  00287-ACO CA-60 5,0 MM",45789,Baixada
,1148,,,,,,,
1148,1148,45664,POTY R09 V00,10,01.04.01.04.001,"278 -  00278-AÇO CA-50 6,3 MM",45796,Baixada
,1148,,,,,,,
1148,1148,45664,POTY R09 V00,11,01.04.01.04.001,"280 -  00280-AÇO CA-50 10,0 MM",45789,Baixada
,1148,,,,,,,
1148,1148,45664,POTY R09 V00,12,01.04.01.04.001,"281 -  00281-AÇO CA-50 12,5 MM",45796,Baixada
,1148,,,,,,,
1148,1148,45664,POTY R09 V00,13,01.04.01.04.001,"282 -  00282-AÇO CA-50 16,0 MM",45796,Baixada
,1148,,,,,,,
1148,1148,45664,POTY R09 V00,14,01.04.01.04.001,"283 -  00283-AÇO CA-50 20,0 MM",45796,Baixada
,1148,,,,,,,
1148,1148,45664,POTY R09 V00,15,01.04.01.04.001,"284 -  00284-AÇO CA-50 25,0 MM",45796,Baixada
,1148,,,,,,,
1520,1520,45670,POTY R09 V00,1,01.02.02.01.002,"5564 -  05564-MO ESCAVAÇÃO, CARGA E TRANSPORTE PARA BOTA-FORA",45748,Baixada
,1520,,,,,,,
1169,1169,45664,POTY R09 V00,1,01.08.03.02.005,9017 -  09017-CORDOALHA 3/8 7 FIOS GALVANIZADO,45734,Baixada
,1169,,,,,,,
1169,1169,45664,POTY R09 V00,2,01.08.03.02.005,"4763 -  04763-REBAR 8""MMX3,0M (50MM²)",45712,Baixada
,1169,,,,,,,
1169,1169,45664,POTY R09 V00,3,01.08.03.02.005,4713 -  04713-CONECTOR TIPO GAR 50MM,45712,Baixada
,1169,,,,,,,
1169,1169,45664,POTY R09 V00,4,01.08.03.02.005,9039 -  09039-CONECTOR ATERRINSERT M12,45712,Baixada
,1169,,,,,,,
1169,1169,45664,POTY R09 V00,5,01.08.03.02.005,"4716 -  04716-HASTE DE ATERRAMENTO 5/8""",45712,Baixada
,1169,,,,,,,
1169,1169,45664,POTY R09 V00,7,01.08.03.02.005,"4707 -  04707-CONECTOR SPLIT-BOLT 50,0MM",45713,Baixada
,1169,,,,,,,
1756,1756,45672,POTY R09 V00,1,01.06.02.01.001,5391 -  05391-MO APLICAÇÃO DE MANTA 4MM SOBRE ASFALTO,45775,Aberto
,1756,,,,,,,
1815,1815,45673,POTY R09 V00,1,01.01.03.02.001,"6455 -  06455-DISCO DE CORTE 115X1,0X22,23 MM",45701,Baixada
,1815,,,,,,,
1815,1815,45673,POTY R09 V00,2,01.01.03.02.001,6553 -  06553-LAMINA DE SERRA CIRCULAR,45701,Baixada
,1815,,,,,,,
1815,1815,45673,POTY R09 V00,3,01.01.02.02.003,7750 -  07750-TINTA SPRAY VERMELHO,45744,Baixada
,1815,,,,,,,
1815,1815,45673,POTY R09 V00,4,01.01.03.02.001,6577 -  06577-MARCADOR INDUSTRIAL VERMELHO,45701,Baixada
,1815,,,,,,,
1816,1816,45673,POTY R09 V00,1,01.01.03.01.001,3288 -  03288-LOCAÇÃO DE FURADEIRA / MARTELETE SDS PLUS,45758,Baixada
,1816,,,,,,,
1816,1816,45673,POTY R09 V00,2,01.01.03.01.001,"3261 -  03261-LOCAÇÃO DE BOMBA SUBMERSÍVEL 2"" ELÉTRICA",45758,Baixada
,1816,,,,,,,
1816,1816,45673,POTY R09 V00,3,01.01.03.01.001,3288 -  03288-LOCAÇÃO DE FURADEIRA / MARTELETE SDS PLUS,45758,Baixada
,1816,,,,,,,
1816,1816,45673,POTY R09 V00,4,01.01.03.01.001,"3263 -  03263-LOCAÇÃO DE BOMBA SUBMERSÍVEL 3"" ELÉTRICA",45758,Baixada
,1816,,,,,,,
1816,1816,45673,POTY R09 V00,5,01.01.03.01.001,3329 -  03329-LOCAÇÃO DE NÍVEL LASER,45758,Baixada
,1816,,,,,,,
1816,1816,45673,POTY R09 V00,6,01.01.03.01.001,3327 -  03327-LOCAÇÃO DE MOTOR VIBRADOR ELÉTRICO + MANGOTE,45758,Baixada
,1816,,,,,,,
1816,1816,45673,POTY R09 V00,7,01.01.03.01.001,3288 -  03288-LOCAÇÃO DE FURADEIRA / MARTELETE SDS PLUS,45758,Baixada
,1816,,,,,,,
1819,1819,45673,POTY R09 V00,1,01.01.02.03.008,1 -  00001-SERVIÇO DE FRETE,45708,Baixada
,1819,,,,,,,
1854,1854,45673,POTY R09 V00,1,01.01.02.03.008,1 -  00001-SERVIÇO DE FRETE,45708,Baixada
,1854,,,,,,,
1818,1818,45673,POTY R09 V00,1,01.03.05.02.003,5757 -  05757-CORTE E DOBRA DE AÇO,45751,Baixada
,1818,,,,,,,
1817,1817,45673,POTY R09 V00,1,01.03.05.02.003,3328 -  03328-LOCAÇÃO DE MUNCK,45751,Baixada
,1817,,,,,,,
1881,1881,45673,POTY R09 V00,1,01.03.05.02.002,303 -  00303-ARAME GALVANIZADO 12 BWG,45708,Baixada
,1881,,,,,,,
1820,1820,45673,POTY R09 V00,2,01.01.02.05.003,8217 -  08217-SERVIÇOS DE LIMPEZA E CONSERVAÇÃO,45761,Baixada
,1820,,,,,,,
1964,1964,45673,POTY R09 V00,1,01.04.01.01.002,"600 -  00600-COMPENSADO PLASTIFICADO 17MM 1,10X2,20",45726,Baixada
,1964,,,,,,,
1964,1964,45673,POTY R09 V00,2,01.04.01.01.002,6502 -  06502-ESPAÇADOR MULTIAPOIO 25MM,45702,Baixada
,1964,,,,,,,
1964,1964,45673,POTY R09 V00,3,01.01.03.02.001,6674 -  06674-TRENA DE AÇO 8 METROS,45702,Baixada
,1964,,,,,,,
1964,1964,45673,POTY R09 V00,4,01.01.03.02.001,6599 -  06599-PULVERIZADOR COSTAL,45702,Baixada
,1964,,,,,,,
1964,1964,45673,POTY R09 V00,5,01.04.01.01.003,"9260 -  09260-PRANCHA EUCALIPTO 3""X6""",45740,Baixada
,1964,,,,,,,
1964,1964,45673,POTY R09 V00,6,01.04.01.01.002,6436 -  06436-CANTONEIRA PARA PILAR,45702,Baixada
,1964,,,,,,,
1408,1408,45666,POTY R09 V00,2,16.01.01.02.013,5605 -  05605-REEMBOLSO/RATEIO DA ESTRUTURA DE APOIO,45762,Baixada
,1408,,,,,,,
1401,1401,45666,POTY R09 V00,1,24.01.01.01.001,5612 -  05612-SERVIÇOS TAXA DE ADMINISTRAÇÃO DE OBRA,45762,Baixada
,1401,,,,,,,
1364,1364,45666,POTY R09 V00,2,01.01.04.01.006,4844 -  04844-MO ANALISTA DE ENGENHARIA,45762,Baixada
,1364,,,,,,,
1364,1364,45666,POTY R09 V00,4,01.01.04.01.001,4846 -  04846-MO COORDENADOR DE OBRAS,45762,Baixada
,1364,,,,,,,
1364,1364,45666,POTY R09 V00,5,01.01.04.01.002,4848 -  04848-MO ENGENHEIRO RESIDENTE,45762,Baixada
,1364,,,,,,,
1364,1364,45666,POTY R09 V00,6,01.01.04.01.010,4849 -  04849-MO ENGENHEIRO SEGURANÇA DO TRABALHO,45762,Baixada
,1364,,,,,,,
1364,1364,45666,POTY R09 V00,7,01.01.04.01.003,4852 -  04852-MO ESTAGIÁRIO DE ENGENHARIA,45762,Baixada
,1364,,,,,,,
1364,1364,45666,POTY R09 V00,9,01.01.04.01.011,4861 -  04861-MO TÉCNICO SEGURANÇA TRABALHO,45762,Baixada
,1364,,,,,,,
2708,2708,45685,POTY R09 V00,1,01.01.03.03.006,9206 -  09206-LOCAÇÃO DE ESCADA DE ACESSO,45772,Baixada
,2708,,,,,,,
2708,2708,45685,POTY R09 V00,2,01.01.03.03.006,5640 -  05640-SERVIÇOS CONSULTORIA EM PROJETOS,45763,Baixada
,2708,,,,,,,
2672,2672,45684,POTY R09 V00,1,01.01.02.03.005,5617 -  05617-LICENÇA FULL SOFTWARE,45771,Baixada
,2672,,,,,,,
2673,2673,45684,POTY R09 V00,1,01.03.04.02.013,53 -  00053-CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,45860,Baixada
,2673,,,,,,,
2673,2673,45684,POTY R09 V00,2,01.03.04.02.013,9214 -  09214-SERVIÇO DE CONCRETAGEM,45860,Baixada
,2673,,,,,,,
2674,2674,45685,POTY R09 V00,1,01.03.03.02.001,79 -  00079-CONCRETO USINADO BOMBEÁVEL 40MPA 12+-2 B1,45860,Baixada
,2674,,,,,,,
2674,2674,45685,POTY R09 V00,2,01.03.04.02.013,53 -  00053-CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,45860,Baixada
,2674,,,,,,,
2674,2674,45685,POTY R09 V00,3,01.03.04.02.013,97 -  00097-SERVIÇOS DE BOMBEAMENTO DIÁRIA,45860,Baixada
,2674,,,,,,,
2676,2676,45685,POTY R09 V00,1,01.03.04.02.013,53 -  00053-CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,45860,Baixada
,2676,,,,,,,
2676,2676,45685,POTY R09 V00,2,01.03.04.02.013,97 -  00097-SERVIÇOS DE BOMBEAMENTO DIÁRIA,45860,Baixada
,2676,,,,,,,
2677,2677,45685,POTY R09 V00,1,01.03.04.02.013,53 -  00053-CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,45860,Baixada
,2677,,,,,,,
2677,2677,45685,POTY R09 V00,2,01.03.04.02.013,97 -  00097-SERVIÇOS DE BOMBEAMENTO DIÁRIA,45860,Baixada
,2677,,,,,,,
2679,2679,45685,POTY R09 V00,1,01.03.04.02.013,53 -  00053-CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,45860,Baixada
,2679,,,,,,,
2679,2679,45685,POTY R09 V00,2,01.03.04.02.013,97 -  00097-SERVIÇOS DE BOMBEAMENTO DIÁRIA,45860,Baixada
,2679,,,,,,,
2679,2679,45685,POTY R09 V00,3,01.03.04.02.013,94 -  00094-CONCRETO M3 FALTANTE,45860,Baixada
,2679,,,,,,,
2679,2679,45685,POTY R09 V00,4,01.03.04.02.013,99 -  00099-TAXA DE PERMANÊNCIA CONCRETO,45860,Baixada
,2679,,,,,,,
2680,2680,45685,POTY R09 V00,1,01.03.03.02.001,79 -  00079-CONCRETO USINADO BOMBEÁVEL 40MPA 12+-2 B1,45860,Baixada
,2680,,,,,,,
2680,2680,45685,POTY R09 V00,2,01.03.03.02.001,97 -  00097-SERVIÇOS DE BOMBEAMENTO DIÁRIA,45860,Baixada
,2680,,,,,,,
2680,2680,45685,POTY R09 V00,3,01.03.04.02.013,53 -  00053-CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,45860,Baixada
,2680,,,,,,,
2681,2681,45685,POTY R09 V00,1,01.03.02.02.009,53 -  00053-CONCRETO USINADO BOMBEÁVEL 25MPA 14+-2 B1,45860,Baixada
,2681,,,,,,,
2681,2681,45685,POTY R09 V00,2,01.03.02.02.009,97 -  00097-SERVIÇOS DE BOMBEAMENTO DIÁRIA,45860,Baixada
,2681,,,,,,,
2683,2683,45685,POTY R09 V00,1,01.03.02.06.002,103 -  00103-CIMENTO PORTLAND CP II F,45706,Baixada
,2683,,,,,,,
2696,2696,45685,POTY R09 V00,1,01.01.04.03.003,7891 -  07891-CONSUMO DE INTERNET,45706,Baixada
,2696,,,,,,,
2700,2700,45685,POTY R09 V00,2,01.01.02.05.001,174 -  00174-SAIBRO FINO,45713,Baixada
,2700,,,,,,,
2721,2721,45685,POTY R09 V00,1,01.01.03.01.004,8570 -  08570-MO LOCAÇÃO DE CAMINHAO PIPA COM COMBUSTÍVEL,45772,Baixada
,2721,,,,,,,
2705,2705,45685,POTY R09 V00,1,01.03.05.02.002,"609 -  00609-COMPENSADO RESINADO 17MM 1,10X2,20",45735,Baixada
,2705,,,,,,,
2710,2710,45685,POTY R09 V00,1,01.03.05.02.003,5757 -  05757-CORTE E DOBRA DE AÇO,45763,Baixada
,2710,,,,,,,
2684,2684,45685,POTY R09 V00,1,01.01.03.01.001,3313 -  03313-LOCAÇÃO DE MARTELETE ROMPEDOR 10KG,45772,Baixada
,2684,,,,,,,
2684,2684,45685,POTY R09 V00,2,01.01.03.01.001,"3261 -  03261-LOCAÇÃO DE BOMBA SUBMERSÍVEL 2"" ELÉTRICA",45772,Baixada
,2684,,,,,,,
2684,2684,45685,POTY R09 V00,3,01.01.03.01.001,3288 -  03288-LOCAÇÃO DE FURADEIRA / MARTELETE SDS PLUS,45772,Baixada
,2684,,,,,,,
2682,2682,45685,POTY R09 V00,1,01.01.03.01.001,3313 -  03313-LOCAÇÃO DE MARTELETE ROMPEDOR 10KG,45772,Baixada
,2682,,,,,,,
2682,2682,45685,POTY R09 V00,2,01.01.03.01.001,3306 -  03306-LOCAÇÃO DE MANGUEIRA PARA BOMBA,45772,Baixada
,2682,,,,,,,
2682,2682,45685,POTY R09 V00,3,01.01.03.01.001,3301 -  03301-LOCAÇÃO DE LAVADORA ALTA PRESSÃO ELÉTRICA,45772,Baixada
,2682,,,,,,,
2766,2766,45685,POTY R09 V00,1,01.01.03.03.001,"6225 -  06225-CHUMBADOR JAQUETA CONE 1/4""",45728,Baixada
,2766,,,,,,,
2766,2766,45685,POTY R09 V00,2,01.01.03.03.001,3297 -  03297-LOCAÇÃO DE GUINDASTE,45763,Baixada
